"Existing own homes; average purchase prices, region"
"Topic: |Average purchase price"
"";"Periods"
"";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Regions";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro"
"Groningen (PV)";"163505";"165832";"171679";"180595";"195057";"205000";"219283";"241080";"283578";"319184";"313679";"339874";"371220"
"Fryslân (PV)";"169899";"174240";"180461";"187950";"201430";"216116";"230643";"254223";"290253";"325113";"323765";"350624";"375728"
"Drenthe (PV)";"181850";"185239";"194566";"205504";"213562";"228433";"241941";"266616";"316653";"355510";"349757";"380809";"411728"
"Overijssel (PV)";"189733";"197070";"198713";"210683";"227193";"244270";"260130";"282983";"325701";"365460";"365733";"393428";"420923"
"Flevoland (PV)";"178294";"188445";"194188";"204317";"226753";"253875";"269589";"301754";"351576";"405900";"394736";"422630";"454473"
"Gelderland (PV)";"215875";"221921";"227324";"237769";"255392";"275915";"296243";"323723";"379346";"422110";"413316";"446181";"479542"
"Utrecht (PV)";"249506";"256282";"264382";"282981";"316244";"349404";"371727";"404811";"460992";"510098";"476555";"526771";"560526"
"Noord-Holland (PV)";"243147";"257128";"273911";"301899";"333082";"373688";"396601";"424553";"490225";"536786";"507271";"544917";"570463"
"Zuid-Holland (PV)";"211626";"217573";"221441";"232144";"254146";"280460";"305261";"333763";"384214";"425469";"410408";"442913";"469137"
"Zeeland (PV)";"183907";"186748";"193489";"202262";"213611";"220889";"242998";"259014";"294022";"326521";"328452";"345402";"366731"
"Noord-Brabant (PV)";"221039";"228412";"235669";"248763";"268514";"290569";"310254";"337960";"385036";"426539";"418547";"456420";"486894"
"Limburg (PV)";"179427";"186408";"191829";"199165";"212920";"229286";"243850";"263910";"300777";"330567";"329001";"357532";"381845"
"Source: Statistics Netherlands, Kadaster"
